Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Arachidonic acid metabolism",246,ALOX15,27,3,1,Emodin,HMR_0985; HMR_0986; HMR_0987
"Arachidonic acid metabolism",246,ALOX15,27,3,1,Emodin,HMR_0985; HMR_0986; HMR_0987
"Arachidonic acid metabolism",240,NA,27,0,112,NA,
"Arachidonic acid metabolism",873,NA,27,0,113,NA,
"Arachidonic acid metabolism",873,NA,27,0,114,NA,
"Arachidonic acid metabolism",873,NA,27,0,115,NA,
"Arachidonic acid metabolism",2877,NA,27,0,116,NA,
"Arachidonic acid metabolism",2877,NA,27,0,117,NA,
"Arachidonic acid metabolism",2876,NA,27,0,118,NA,
"Arachidonic acid metabolism",2876,NA,27,0,119,NA,
"Arachidonic acid metabolism",2879,NA,27,0,120,NA,
"Arachidonic acid metabolism",2879,NA,27,0,121,NA,
"Arachidonic acid metabolism",2878,NA,27,0,122,NA,
"Arachidonic acid metabolism",2878,NA,27,0,123,NA,
"Arachidonic acid metabolism",2878,NA,27,0,124,NA,
"Arachidonic acid metabolism",257202,NA,27,0,125,NA,
"Arachidonic acid metabolism",257202,NA,27,0,126,NA,
"Arachidonic acid metabolism",257202,NA,27,0,127,NA,
"Arachidonic acid metabolism",2882,NA,27,0,128,NA,
"Arachidonic acid metabolism",2882,NA,27,0,129,NA,
"Arachidonic acid metabolism",2882,NA,27,0,130,NA,
"Arachidonic acid metabolism",11283,NA,27,4,131,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",11283,NA,27,4,132,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",11283,NA,27,4,133,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",11283,NA,27,4,134,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",11283,NA,27,4,135,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1557,CYP2C19,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1557,CYP2C19,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1557,CYP2C19,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1557,CYP2C19,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1543,NA,27,4,140,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1543,NA,27,4,141,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1543,NA,27,4,142,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1543,NA,27,4,143,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1545,NA,27,4,144,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1545,NA,27,4,145,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1545,NA,27,4,146,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1545,NA,27,4,147,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1544,NA,27,4,148,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1544,NA,27,4,149,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1544,NA,27,4,150,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1544,NA,27,4,151,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1588,NA,27,4,152,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1588,NA,27,4,153,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1588,NA,27,4,154,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1588,NA,27,4,155,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1576,CYP3A4,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1576,CYP3A4,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1576,CYP3A4,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1576,CYP3A4,27,4,1,Emodin,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1553,NA,27,4,160,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1553,NA,27,4,161,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1553,NA,27,4,162,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1553,NA,27,4,163,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1548,NA,27,4,164,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1548,NA,27,4,165,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1548,NA,27,4,166,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1548,NA,27,4,167,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1562,NA,27,4,168,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
